Funding block,address,Funding Amount[CELO],Funding Entity,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,Onmichain Balance$,eth linea base scroll zks Balance$
20428571,0xacf0410744fd92cc42867d84ec62e11f36356d03,1.0374,Tether : Binance,41,"['CoreDAO' 'Angle' 'Stargate' 'Zerius' 'Angle' 'CoreDAO' 'Angle' 'Merkly'
 'Stargate' 'Stargate' 'Bitcoin Bridge' 'Stargate' 'Stargate' 'Stargate'
 'Angle' 'CoreDAO' 'L2Pass' 'Stargate' 'Stargate' 'Holograph' 'CoreDAO'
 'Stargate' 'Holograph' 'Stargate' 'Stargate' 'CoreDAO' 'Holograph'
 'Stargate' 'Merkly' 'Stargate' 'Harmony Bridge' 'Holograph' 'Merkly'
 'Stargate' 'Merkly' 'CoreDAO' 'Holograph' 'Merkly' 'Stargate' 'Angle'
 'Bitcoin Bridge']",1994.28,48.64,9,11,18,83.26,"[19.26, 0.37, 41.2, 0, 0]"
20428354,0x95e7331e6db08b847ef6daebd34d1ef76a3f4665,0.948,Tether : Binance,104,"['Merkly' 'Gas.zip' 'L2Pass' 'Omnisea' 'DappGate' 'L2Pass' 'Holograph'
 'Stargate' 'Stargate' 'CoreDAO' 'Harmony Bridge' 'Omnisea' 'CoreDAO'
 'Merkly' 'Gas.zip' 'L2Pass' 'Omnisea' 'CoreDAO' 'Stargate' 'CoreDAO'
 'Whale' 'Merkly' 'Gas.zip' 'l2telegraph' 'Gas.zip' 'Abracadabra Money'
 'Bitcoin Bridge' 'Angle' 'Gas.zip' 'Bitcoin Bridge' 'Gas.zip'
 'Bitcoin Bridge' 'Angle' 'Whale' 'Whale' 'Abracadabra Money' 'Omnisea'
 'Gas.zip' 'Merkly' 'L2telegraph' nan 'Omnisea' 'Stargate' 'Omnisea'
 'Harmony Bridge' 'Angle' 'DappGate' 'Harmony Bridge' 'Aptos Bridge'
 'Stargate' 'Stargate' nan 'Stargate' 'L2Pass' 'Merkly' 'Whale' 'L2Pass'
 'CoreDAO' 'Stargate' 'Abracadabra Money' 'Merkly' 'Stargate' 'Stargate'
 'CoreDAO' 'L2telegraph' 'Angle' 'Gas.zip' 'Whale' nan 'CoreDAO' 'USDV'
 'Gas.zip' 'Stargate' 'Stargate' 'Merkly' 'Stargate' 'Gas.zip' 'Gas.zip'
 'DappGate' 'Harmony Bridge' 'CoreDAO' 'Stargate' 'Gas.zip' 'Gas.zip'
 'Angle' 'CoreDAO' 'Angle' 'Merkly' 'Harmony Bridge' 'Whale' nan 'CoreDAO'
 'Stargate' 'Angle' 'Stargate' 'Merkly' 'ShimmerBridge' 'Gas.zip'
 'Gas.zip' 'L2Pass' 'CoreDAO' 'Merkly' 'Angle' 'CoreDAO']",11000.52,105.77,19,23,31,109.22,"[18.66, 0, 25.19, 0.36, 1.26]"
20428016,0x60b58848bf63151661a69f6c9d905b42860a7da9,0.954,Tether : Binance,108,"['Omnisea' 'Harmony Bridge' 'Bitcoin Bridge' 'Bitcoin Bridge' 'Merkly'
 'Harmony Bridge' 'Harmony Bridge' 'Merkly' 'Stargate' 'USDV' 'Angle'
 'Omnisea' 'Merkly' 'Merkly' 'CoreDAO' 'Merkly' 'L2Pass' 'Harmony Bridge'
 'CoreDAO' 'Abracadabra Money' 'Gas.zip' 'Stargate' 'ShimmerBridge'
 'Gas.zip' 'Stargate' 'l2telegraph' 'Stargate' 'Angle' 'CoreDAO'
 'Harmony Bridge' 'Merkly' 'Merkly' 'Stargate' 'CoreDAO' 'Merkly'
 'Abracadabra Money' 'Omnisea' 'Merkly' 'Harmony Bridge' 'L2Pass' 'Whale'
 'Aptos Bridge' 'Gas.zip' 'Harmony Bridge' 'Abracadabra Money' 'Whale'
 'USDV' 'Gas.zip' 'Angle' 'Whale' 'Omnisea' 'Harmony Bridge' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Whale' 'CoreDAO' 'L2Pass' 'Omnisea' 'L2Pass'
 'Bitcoin Bridge' 'Merkly' 'CoreDAO' 'CoreDAO' 'Gas.zip'
 'Abracadabra Money' 'Merkly' 'Whale' 'Whale' 'Angle' 'Stargate' 'Omnisea'
 'L2Pass' 'Angle' 'Gas.zip' 'l2telegraph' 'Holograph' 'Stargate' 'Gas.zip'
 'Stargate' 'Stargate' 'Stargate' 'Whale' 'Stargate' 'DappGate' 'L2Pass'
 'Stargate' 'Merkly' 'Gas.zip' 'Abracadabra Money' 'Merkly'
 'Harmony Bridge' 'Stargate' 'Stargate' 'Merkly' 'Merkly' 'Gas.zip'
 'l2telegraph' 'Angle' 'Omnisea' 'CoreDAO' 'Abracadabra Money'
 'Harmony Bridge' 'Angle' 'Gas.zip' 'Omnisea' 'CoreDAO']",13520.83,125.19,17,24,35,270.93,"[38.49, 31.92, 31.17, 43.08, 39.53]"
20427668,0x7607776d9ee9491a3f163ae83c88af85802fe292,0.999,Tether : Binance,0,[],0.0,,0,0,0,5.93,"[0.0, 0, 0, 0, 0]"
20427267,0xe2fb6a3244c06e697a32a1bc840fa3d643fc6475,1.058,Tether : Binance,109,"['Gas.zip' 'Abracadabra Money' 'Gas.zip' 'Holograph' 'Harmony Bridge'
 'L2Pass' 'Omnisea' 'Gas.zip' 'Angle' 'Harmony Bridge' 'Stargate' 'Merkly'
 'Bitcoin Bridge' 'Merkly' 'Whale' 'DappGate' 'L2Pass' 'Harmony Bridge'
 'Whale' 'CoreDAO' 'Angle' 'Omnisea' 'Merkly' 'Merkly' 'Merkly' 'USDV'
 'Gas.zip' 'L2Pass' 'L2telegraph' 'CoreDAO' 'L2Pass' 'Stargate' 'L2Pass'
 'Harmony Bridge' 'Merkly' 'Whale' 'Stargate' 'Stargate'
 'Abracadabra Money' 'Stargate' 'Angle' 'Stargate' 'Merkly' 'Angle'
 'Omnisea' 'Omnisea' 'L2telegraph' 'Merkly' 'CoreDAO' 'Harmony Bridge'
 'L2telegraph' 'Merkly' 'Stargate' 'Angle' 'Merkly' 'Gas.zip' 'Whale'
 'Harmony Bridge' 'Merkly' 'Stargate' 'L2Pass' 'L2Pass' 'Merkly'
 'DappGate' 'Stargate' 'USDV' 'Merkly' 'USDV' 'Gas.zip'
 'Abracadabra Money' 'Merkly' 'Whale' 'Angle' 'Angle' 'Whale' 'Omnisea'
 'Bitcoin Bridge' 'DappGate' 'Aptos Bridge' 'CoreDAO' 'Stargate'
 'Stargate' 'Stargate' 'L2Pass' 'Omnisea' 'CoreDAO' 'L2Pass'
 'Abracadabra Money' 'CoreDAO' 'Merkly' 'L2Pass' 'l2telegraph'
 'Abracadabra Money' 'Gas.zip' 'Angle' 'Angle' 'Merkly' 'Stargate'
 'Stargate' 'Angle' 'Merkly' 'ShimmerBridge' 'Merkly' 'Omnisea' 'Omnisea'
 'Whale' 'CoreDAO' 'CoreDAO' 'DappGate']",13605.66,124.82,18,23,35,218.73,"[36.13, 0.0, 36.04, 42.65, 43.58]"
20427146,0x19c1b5c70639e461e0703fa9e5bd62bd5674e2ef,1.009,Tether : Binance,0,[],0.0,,0,0,0,0.86,"[0, 0, 0, 0, 0]"
20426906,0x5f9f66ef306f87720284689b6398ee1afd149d50,0.999,Tether : Binance,192,"['DeFi Kingdoms' 'Bitcoin Bridge' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Aptos Bridge' 'DeFi Kingdoms' nan
 'DeFi Kingdoms' 'Stargate' 'Angle' 'DeFi Kingdoms' 'Holograph'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Omni X' 'Holograph' 'DeFi Kingdoms'
 'MintDAO' 'DeFi Kingdoms' 'Stargate' nan 'DeFi Kingdoms' 'DeFi Kingdoms'
 'Stargate' 'Omni X' 'DeFi Kingdoms' 'DeFi Kingdoms' 'Stargate'
 'DeFi Kingdoms' 'Angle' 'Angle' 'Stargate' 'DeFi Kingdoms' 'Stargate'
 'DeFi Kingdoms' 'Omni X' 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Aptos Bridge' 'Stargate' nan
 'DeFi Kingdoms' 'Angle' 'DeFi Kingdoms' 'DeFi Kingdoms' nan
 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms' 'Omni X' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms' nan 'DeFi Kingdoms' 'Stargate'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Stargate' 'Bitcoin Bridge'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms' 'Stargate'
 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'MintDAO' 'DeFi Kingdoms' 'Stargate' nan nan
 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' nan 'DeFi Kingdoms' nan nan 'Stargate'
 'DeFi Kingdoms' 'l2telegraph' 'DeFi Kingdoms' 'Stargate' 'Stargate'
 'Angle' 'DeFi Kingdoms' 'Stargate' nan 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms' 'Omni X'
 'Harmony Bridge' 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Angle' 'Harmony Bridge' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'Stargate' 'Stargate' 'DeFi Kingdoms' 'Stargate'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Angle' 'DeFi Kingdoms' nan nan
 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' nan 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Omni X' 'Stargate' 'DeFi Kingdoms'
 'Stargate' 'DeFi Kingdoms' 'Holograph' 'DeFi Kingdoms' nan 'Angle'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'DeFi Kingdoms' nan 'DeFi Kingdoms'
 'l2telegraph' 'DeFi Kingdoms' 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms'
 'Omni X' 'DeFi Kingdoms' 'DeFi Kingdoms' nan 'DeFi Kingdoms'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms' 'Aptos Bridge'
 'DeFi Kingdoms' 'DeFi Kingdoms' 'Stargate']",4031.74,21.0,11,14,21,458.41,"[210.84, 0, 1.47, 17.08, 97.11]"
20426817,0xe65d557cffc62cceb9a2d5ea70a4abef187f204c,0.923155,Tether : Binance,49,"['Angle' 'CoreDAO' 'CoreDAO' 'Merkly' 'Angle' 'Angle' 'Testnet Bridge'
 'Bitcoin Bridge' 'Angle' 'CoreDAO' 'L2Pass' 'Angle' 'Angle' 'Angle'
 'Merkly' 'Aptos Bridge' 'Bitcoin Bridge' 'Angle' 'Stargate'
 'Bitcoin Bridge' 'Aptos Bridge' 'Angle' 'CoreDAO' 'Stargate' 'Angle'
 'l2telegraph' 'CoreDAO' 'CoreDAO' 'Interport Finance' 'Angle'
 'Bitcoin Bridge' 'Stargate' 'Merkly' 'Zerius' 'Zerius' 'Merkly' 'USDV'
 'Stargate' 'Angle' 'Harmony Bridge' nan 'Merkly' 'Harmony Bridge' 'USDV'
 'USDV' 'Aptos Bridge' 'Stargate' 'Merkly' 'Merkly']",464.78,9.49,14,10,17,82.91,"[0.42, 0, 0, 16.86, 43.34]"
20426816,0x4931f18a33112efec312b35608dfca7309e1b0a1,1.099,Tether : Binance,130,"[nan 'Merkly' 'Holograph' 'Holograph' 'Holograph' 'Holograph' 'Dexalot'
 'L2Marathon' 'Stargate' 'Interport Finance' 'Merkly' 'Merkly'
 'L2Marathon' 'Merkly' 'Holograph' 'Holograph' 'Aptos Bridge' 'Holograph'
 'Stargate' 'DappGate' 'Merkly' 'Aptos Bridge' 'Abracadabra Money'
 'L2Marathon' nan 'CoreDAO' 'CoreDAO' 'Holograph' 'Aptos Bridge' 'Merkly'
 'Merkly' 'Dexalot' 'L2Marathon' 'Merkly' 'Holograph' 'L2Marathon'
 'Dexalot' 'OmniCat' 'L2Marathon' nan nan 'Merkly' 'Merkly' 'USDV'
 'L2Marathon' 'Stargate' 'Stargate' 'L2Marathon' 'Merkly' 'Aptos Bridge'
 'Stargate' 'DappGate' 'Bitcoin Bridge' 'Merkly' nan 'Stargate' nan
 'L2Marathon' 'Omni X' 'CoreDAO' 'L2Marathon' nan 'Holograph' 'Omni X'
 'Merkly' 'Holograph' 'Merkly' 'Stargate' 'CoreDAO' 'Holograph'
 'Holograph' 'L2Marathon' 'Stargate' 'Merkly' 'Omni X' nan 'Holograph'
 'Merkly' 'L2Marathon' 'Holograph' 'DappGate' 'Harmony Bridge' 'Stargate'
 'Merkly' 'Omni X' nan nan 'Stargate' 'Stargate' nan 'USDV' 'L2Marathon'
 nan 'Merkly' nan 'L2Marathon' 'Holograph' 'Holograph' 'Aptos Bridge' nan
 'CoreDAO' 'Stargate' 'Stargate' 'Holograph' 'Merkly' 'Stargate'
 'Stargate' 'L2Marathon' 'Merkly' 'Holograph' 'Holograph' 'Bitcoin Bridge'
 nan 'CoreDAO' 'Merkly' 'L2Marathon' nan nan 'Aptos Bridge' 'Holograph'
 'L2Marathon' 'Stargate' 'Stargate' 'Stargate' nan 'Holograph'
 'Abracadabra Money' nan 'L2Marathon' 'Merkly']",2911.82,22.4,16,21,29,0.0,"[0, 0, 0, 0, 0]"
20426635,0x4f9ecdf19468143a0151df3e841aa83386a0c554,0.999,Tether : Binance,55,"['Stargate' 'Stargate' 'Stargate' 'Stargate' 'CoreDAO' nan
 'Bitcoin Bridge' 'Stargate' 'CoreDAO' 'Stargate' 'Harmony Bridge' 'Angle'
 'Merkly' 'Radiant Capital' 'Stargate' nan 'Angle' 'Stargate' 'Stargate'
 'Holograph' 'Stargate' nan 'Merkly' 'Holograph' 'Angle' 'Stargate'
 'Aptos Bridge' 'Stargate' 'Stargate' 'Angle' nan 'Stargate'
 'Aptos Bridge' 'Stargate' nan 'Stargate' 'Merkly' 'Stargate' 'CoreDAO'
 'Radiant Capital' 'Harmony Bridge' 'Merkly' 'Stargate' 'CoreDAO'
 'Stargate' 'Merkly' 'Stargate' 'Holograph' nan 'Stargate'
 'Bitcoin Bridge' nan 'Stargate' 'Stargate' 'Stargate']",9734.53,176.99,10,10,17,84.83,"[11.28, 1.61, 1.14, 5.0, 42.61]"
