Funding block,address,Funding Amount[CELO],Funding Entity,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,Onmichain Balance$,eth linea base scroll zks Balance$,affinity
20422816,0x6bc137a27793e59d184ca4cea3c043ddc43b8d79,1.0352,Tether : Binance,17,"['Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' nan nan 'Stargate' 'Stargate' nan
 nan]",1102.2,64.84,2,8,9,39.38,"[0.0, 0, 0, 0, 0.67]",28
20422812,0xbf232d79aade0c229a80e6817618ad6b6aec8ad0,1.0303,Tether : Binance,18,"['Stargate' nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' nan]",1251.44,69.52,2,7,8,52.27,"[0.0, 0, 0, 0, 0.67]",28
20422811,0x03f6db2ef176e0e80d2f8046a5610a24ecd200a4,1.0367,Tether : Binance,18,"['Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' nan nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan]",1168.39,64.91,2,7,8,47.09,"[0.0, 0, 0, 0, 0.67]",28
20422806,0x08998ba1716e5375988ec23726e7b1f0a9a33025,1.0353,Tether : Binance,18,"['Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate']",1141.48,63.42,2,7,8,46.57,"[0.0, 0, 0, 0, 0.67]",28
20422803,0x4414f6f69e759cc536a9c1f102a0cdcf8c4bc969,1.0409,Tether : Binance,16,"[nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate']",1081.85,67.62,2,7,8,33.5,"[0.0, 0, 0, 0, 0.67]",28
20422786,0x0c7a821ee4402f5927577a128e509ac2aff1c1ba,1.0421,Tether : Binance,19,"[nan 'Stargate' 'Stargate' nan 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan nan 'Stargate' nan 'Stargate' nan 'Stargate'
 'Stargate' nan]",1088.69,57.3,2,8,9,45.46,"[0.0, 0, 0, 0, 0.67]",28
20422782,0x7a090eb41d553c5df7da5a1a0eb23bbaafa2ae6d,1.0335,Tether : Binance,17,"[nan nan 'Stargate' 'Stargate' 'Stargate' nan nan nan nan 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate']",1094.29,64.37,2,8,9,45.77,"[0.0, 0, 0, 0, 0.67]",28
20422758,0x7ed06abac7a91646566ed5059c6bd9f1d0b2b54a,1.036,Tether : Binance,17,"['Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan nan 'Stargate' nan
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan]",1090.48,64.15,2,8,9,45.55,"[0.0, 0, 0, 0, 0.67]",28
20422754,0x86acfd30d1c119a891140b6e1a26394126a5c33e,1.0312,Tether : Binance,16,"['Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' nan 'Stargate' nan
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate']",1077.19,67.32,2,7,8,34.05,"[0.0, 0, 0, 0, 0.67]",28
20422749,0x47a334b4ffbc6827d522a85ce78b5d2ebc2aefde,1.0405,Tether : Binance,17,"[nan 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan nan 'Stargate'
 nan 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate']",1045.75,61.51,2,8,9,38.47,"[0.0, 0, 0, 0, 0.67]",28
