Funding block,address,Funding Amount[CELO],Funding Entity
19875555,0xc355fbf3e91bdf5c03d8a6caec978de39d37b648,0.58086,Tether : Binance
19875424,0x30236ee7470852f64b2c7437f479ad2fd8e62da8,0.58277,Tether : Binance
19875383,0x1c9772e64dec605809b3f3ae68376524f3c69b75,0.536198,Tether : Binance
19875349,0x8f9967af776f55fef4c4ec851f013ebc82377cff,0.54777,Tether : Binance
19875191,0xeaeeedc63340ab3142589a444c6777ecc2981137,0.50464,Tether : Binance
19875107,0x45ae77172688458c9463b19cd04a2031602b63ed,0.448319,Tether : Binance
19875063,0x6594fafebfc4caa7b86b6c3b8d4bb1f34421ade9,0.578742,Tether : Binance
19874943,0xaf621eabe6de9830ee080ee99fb70e96a0a7ca48,0.41831,Tether : Binance
19874936,0x4a983bdd0ced2a573df25a0fe3ed80688ca6288a,0.56009,Tether : Binance
19874884,0xfaa27833094959e17c6054a7c5b082dddbf2b4ab,0.405079,Tether : Binance
19874821,0x23b896ab7a55b2ebd671678f948508a4f1b419e4,0.52265,Tether : Binance
19874809,0x1c182f9d2480b5722ca637487190098b0553a0c4,0.531732,Tether : Binance
19874759,0x32bfaceaf08a1429f5f252abd67d113bf313ddc2,0.427466,Tether : Binance
19874752,0x3a2196ed793ed14176ca71228ee437a978b63128,0.5479,Tether : Binance
19874715,0x93b1674d82351c35eaaf2e4eceb7a49153d687aa,0.5075,Tether : Binance
19874708,0x9857d6b32efab5d9047f9fe5442e550e517b5582,0.549,Tether : Binance
19874669,0x3394d4377c545b19633080a27bc616b4618cad70,0.511276,Tether : Binance
19874663,0x2b43c05fe1d03a152c9cee1edc0e8f1c8da89824,0.448633,Tether : Binance
19874636,0x44a3fa5da96e3266af16f59bce994949fc24a5c8,0.52489,Tether : Binance
19874590,0x7b35820d96cf32ba33e0391a938f1e8a76fa4922,0.538219,Tether : Binance
19874587,0x0f460d26208e698bb1db1bf68a17f4c01ef8e287,0.51517,Tether : Binance
19874572,0x649eaed6228e136961b66fb87d20a17fd61e6780,0.501604,Tether : Binance
19874509,0xb73bc99407828b62ad54161da50201e4c529c62d,0.55223,Tether : Binance
19874440,0x0cdd5f9a01ac523f2a2c304de6d05f225b6ea9b0,0.58516,Tether : Binance
19874391,0x3c395166f430ae330b5a318f4ba62c6d77b5bc93,0.499,Tether : Binance
19874369,0x4952fee202a7b491c70156dbaccc3b2a645bdf56,0.424742,Tether : Binance
19874356,0x856f3d2c8c0ce19ce8238417e85c21cccde1080b,0.502847,Tether : Binance
19874347,0x00620207b8fffbdbf1ebd7d024353161d96e6747,0.517297,Tether : Binance
19874320,0x09178200ff67893ad0495a14f9f17b2948ddd6d7,0.54282,Tether : Binance
19874319,0x544f060fb343b36d682aa0be3a4265b11ab8d6be,0.471502,Tether : Binance
19874315,0xd25fe020a43d2481548eda2e1b48da05e5c7e4d1,0.489457,Tether : Binance
19874303,0x6e1302867962931ab362473108910755d97d8351,0.531078,Tether : Binance
19874292,0xb5fb83409fc088a56b71d00046d7ea9a89975281,0.410847,Tether : Binance
19874284,0xd98186422b7b16c4feda44bac68c5b4ff58d75a2,0.529089,Tether : Binance
19874278,0x611816a449b1ab1e423927081b8ee11933f47530,0.445587,Tether : Binance
19874263,0xf57db280efff47a1e3521003349b22256f65cbb4,0.469993,Tether : Binance
19874257,0x19c8273b31dd386bdeef99d0fe7dee11b30ba9ad,0.501846,Tether : Binance
19874212,0xeb4a1f3aca1fb0ea715dc920995d02a21b6732d5,0.430661,Tether : Binance
19874190,0x9cf7624bc0e0f46f293961df69455238c7c37dc2,0.599,Tether : Binance
19874163,0xb6d155d65a919fbe3c22a3a4589337b2980c97ef,0.540137,Tether : Binance
19874068,0x34130a35449d9fbc80fb292e44decba3e725d5de,0.48748,Tether : Binance
19874020,0xd3e3d1fddf56cbe9949379ba290b5c85dda7067e,0.552746,Tether : Binance
19873984,0x25fc0547db24099c59a457bac7faea23c7d69e41,0.567234,Tether : Binance
19873981,0xed0109b54a6b45f9547b9d40b3cd132a3ae8a5da,0.470298,Tether : Binance
19873976,0xcb8c9335ae5cb3ada118855f01cc4804f8ca2401,0.572041,Tether : Binance
19873961,0xcddb51b49d0149e77f39a5bc9443381834dae26f,0.410594,Tether : Binance
19873955,0x16f74c6f4bfb50935dfaa60513383b40eb76f748,0.56296,Tether : Binance
19873939,0x3218ee988cc5fd4a212bc2c389067d886b94bffa,0.52964,Tether : Binance
19873924,0x632c7093fc8c286b910fdaf65d5efc7f688c4da4,0.501792,Tether : Binance
19873913,0xc7c4cc202ef96d2eb43972b1f61ecb8ec0e0b3df,0.54655,Tether : Binance
19873897,0x8e2856bc0a6739435cc809fa76c87996b4047146,0.495505,Tether : Binance
19873892,0xabe805591126eadaa9b0e2b4b7e844e6ecbd5ed4,0.590187,Tether : Binance
19873885,0xa10d9cdbe9a22c64d2e789a2250b5ecc19a2cdc0,0.403077,Tether : Binance
19873882,0xe450f14806fe60fabc08525abd3644b728aa8776,0.513577,Tether : Binance
19873880,0x2828baa8ad589e0e648e74088ce4757a920d77a6,0.495593,Tether : Binance
19873879,0x6d536f50b5630e0d5f6d9ad73f9e58597ae82395,0.52174,Tether : Binance
19873816,0xa3190881d8dc4c706e25208df17a69347ae75770,0.414337,Tether : Binance
19873801,0x123bf8e680076135c382d32880afcd3f4a88e808,0.427434,Tether : Binance
19873683,0x26929bcc8658912d8f4057a1f75f8a0cded767e5,0.496294,Tether : Binance
19873679,0x0bbd1e22782c9be7cccb0a5a446e9f07183204dc,0.466645,Tether : Binance
19873664,0xdab79f123c6de297cb7c3121cf456560b795fd71,0.584874,Tether : Binance
19873663,0x3dbb1a39470be2a74df08706867bdfdf729e11ff,0.474973,Tether : Binance
19873655,0x1b87b4b7a37f66d6d1a85bb801df8c1661e31a91,0.491138,Tether : Binance
19873651,0xbd29c3fcce6a2b59c166504e1cbfe6ac85c74f53,0.504972,Tether : Binance
19873621,0x7c3907f07144e1313f86c0e3aaa14a060ce0d06b,0.550873,Tether : Binance
19873560,0xd1d6e7d1c5731d55d56e60d1a08e2b0c3ea614c1,0.553902,Tether : Binance
19873559,0x44df316377e366e7e6d3e641454698d007f216d2,0.463779,Tether : Binance
19873535,0x8a46373735e992c0b993bcda56b3e23d09c7c325,0.518399,Tether : Binance
19873525,0xc99354aacff6ef170b19c7b59f70e46ee7987739,0.563581,Tether : Binance
19873397,0xecbb1fdfa29e71e9d6f8bc22b40101261fa432dd,0.55741,Tether : Binance
19873261,0xd565ce48c02eccf0aac7c41db415a9c5dd1e5da2,0.50347,Tether : Binance
19873244,0x38dd024c0e98d06318171b77ae0cd6926e6f2abc,0.57355,Tether : Binance
