Funding block,address,Funding Amount[CELO],Funding Entity
20546552,0xece07777cbc1a85bc018ecd8a0ba375bf710fa93,1.05,Tether : Binance
20546546,0xae6a79535dc74b97d20186e7682517a13c10e334,1.099,Tether : Binance
20546524,0xb447443197512c3fae04a0dbf9a0fa678a80cb29,1.099,Tether : Binance
20546369,0x3931416046af2a1efc6da68baa949c014a71801d,1.099472,Tether : Binance
20546363,0xb25a054ac8503102fa24755faaa51dcd994d4fcc,1.099,Tether : Binance
20546285,0xefe49ef37abac9357be7ca6fd91666adf7d38bed,1.099,Tether : Binance
20546258,0x9e25bbd557a085f8d997ebddd23406cc9c84a314,0.999,Tether : Binance
20546135,0x6732e484601edd0156ba05f1a2bf4fcdfa10f072,1.099,Tether : Binance
20546118,0x8e18d5a857740f05c552c74aac989e5ff8be95f2,1.099,Tether : Binance
20545661,0x27d65c260802b019b03592b4b3392874f4200230,0.951,Tether : Binance
20545653,0x78696058c8ca51fac7f9c1810fd344c96d8f2e68,0.951,Tether : Binance
20545646,0x6615a841d20a3f15a57ea7bab0a82aaf94f5ebdc,0.95,Tether : Binance
20545637,0x08e050102dc1ccfb3c74879f53089dbfff9a0c89,0.959,Tether : Binance
20545632,0x1c99a65fbae46c4ae21427b776b803969e1bef09,0.958,Tether : Binance
20545625,0x705929d2439d1678fc9aa36f6014540f05b482b3,0.959,Tether : Binance
20545618,0x4d6bbf7393ce8c8627eccbe3f8c0ed6fd5a6fb3d,0.951,Tether : Binance
20545608,0xf60a36a141ece202db06eb0014e980554171c6b4,0.954,Tether : Binance
20545601,0x3f29972b8e3db8a55a7ead4d32fc377a40820d0b,0.955,Tether : Binance
20545591,0x72c511a27314a0fd0a5071650674110387f72d88,0.956,Tether : Binance
20545583,0x513c91b940f06fa107c5d8a49275594e3f623363,0.96,Tether : Binance
20545574,0xa398b95f2f1f8535098f72f20620a819c7ee5a48,1.04,Tether : Binance
20545574,0x9843b11e182fc57fd21f2ed60f7b192eb65d1b31,0.954,Tether : Binance
20545565,0xfc95420b7131281e8a028d0d56934fe52fd171f4,0.955,Tether : Binance
20545556,0xc8decb3b0d732ed1e6454954b7ee11f0b84f3fe8,0.95,Tether : Binance
20545550,0xf38a143c636802dd0f36aa6c3bb68dd3144a5682,0.951,Tether : Binance
20545543,0x1330cc80f1267a6dd3df0889c47b70b57cc9d889,0.95,Tether : Binance
20545540,0x359487eca07b30cb8f8e1ccb5ce2defcbd889779,1.0385,Tether : Binance
20545538,0xe8b480c61218faec3f0ff155caaa4ea8078f5f35,0.957,Tether : Binance
20537737,0xa26ac9437b73cac4e984138c6cbc6b8855fcf45d,0.948,Tether : Binance
20537728,0xd35c8294cefc8448509d02c873a19703615c1644,0.949,Tether : Binance
20537719,0x325b87ce9eae6560d4f7c6d1a9a15c5f670cfec0,0.95,Tether : Binance
20537712,0xb6bb90bd5e7c19755b10bae4bf0baa6d0a822bad,0.941,Tether : Binance
20537705,0xa8ec10fb376d454c1258c40ac4cbf241b1446743,0.946,Tether : Binance
20537697,0xa8c0b36a28482520be167bff58b9225c1c09608e,0.949,Tether : Binance
20537687,0x5132d11d49c5291765dbab019bb8e7dc8ff09752,0.945,Tether : Binance
20537680,0x20a2f084903851bcaedb2acfe42c29a296942f4f,0.942,Tether : Binance
