Funding block,address,Funding Amount[CELO],Funding Entity,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,EarliestLZdata,affinity,Onmichain Balance$,eth linea base scroll zks Balance$
20537931,0x5be952c1b939867c82c411a1d6afe6b1ae6b988a,1.099,Tether : Binance,19,"['Stargate' nan nan nan nan 'Holograph' 'Angle' 'CoreDAO' nan nan 'Angle'
 'CoreDAO' nan 'Angle' nan nan 'Angle' 'Stargate' nan]",10145.78,533.99,5,8,12,2023/6/8 15:26,0,257.76,"[3.92, 5.0, 0, 0, 110.94]"
20525557,0x90b615b4552b7a2088f80083f9646e9336e6dadf,0.959,Tether : Binance,62,"['Merkly' 'Merkly' 'Angle' 'Merkly' 'Stargate' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly'
 'Merkly' 'Merkly' 'Angle' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Angle' 'Merkly' 'Merkly' 'Angle' 'Angle' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Stargate'
 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle'
 'Merkly' 'Angle' 'Angle' 'Merkly' 'Merkly' 'Angle']",1080.2,17.42,3,6,18,2023/7/25 23:22,2,61.38,"[0, 0, 0, 0, 59.08]"
20525524,0x2396e0564b896507cbcb3bb1bfd0e9479b28a59b,0.949,Tether : Binance,54,"['Angle' 'Merkly' 'Stargate' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Angle' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Stargate' 'Merkly'
 'Angle' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle' 'Merkly'
 'Merkly' 'Angle' 'Stargate' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Angle' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Merkly']",1079.99,20,3,7,16,2023/7/25 12:29,2,2.44,"[0, 0, 0, 0, 0.06]"
20525344,0xb142c8ebd71aa5ebc1f200ba96697a16e3c5aaef,0.939,Tether : Binance,77,"['Merkly' 'Merkly' 'Merkly' 'Stargate' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Angle' 'Merkly' 'Merkly'
 'Stargate' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Stargate' 'Merkly'
 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Stargate' 'Merkly' 'Merkly' 'Merkly' 'Stargate' 'Merkly'
 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly'
 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Stargate'
 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle'
 'Merkly' 'Angle' 'Merkly' 'Stargate' 'Merkly' 'Merkly' 'Merkly']",1400.27,18.19,3,7,18,2023/7/26 7:14,2,30.17,"[0, 0, 0, 0, 0.12]"
20525237,0xa849acd86fd689631e435cfa988cb1a7cabd5fd1,0.939,Tether : Binance,80,"['Angle' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Stargate' 'Merkly'
 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Stargate'
 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly'
 'Stargate' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Stargate' 'Angle' 'Angle' 'Stargate' 'Merkly'
 'Angle' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Angle'
 'Stargate' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Stargate'
 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly']",1389.5,17.37,3,7,17,2023/7/26 1:32,2,34.82,"[0, 0, 0, 0, 0.01]"
20525084,0x3bbb3e7c8676670937a9cbf5fd1dd2032f1a6e57,0.919,Tether : Binance,50,"['Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Stargate'
 'Angle' 'Merkly' 'Stargate' 'Angle' 'CoreDAO' 'Merkly' 'Angle' 'Merkly'
 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Merkly'
 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Angle'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly'
 'Angle' 'Angle']",1108.6,22.17,4,8,16,2023/7/26 6:49,2,1.63,"[0, 0, 0, 0, 0.1]"
20525072,0x87f6df4649348b2a2d5080a37854a0fcfb4d0007,0.959,Tether : Binance,89,"['Merkly' 'Merkly' 'Angle' 'Merkly' 'Stargate' 'Merkly' 'Stargate'
 'Merkly' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Stargate'
 'Angle' 'Merkly' 'Angle' 'Stargate' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Angle' 'Stargate' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle'
 'Merkly' 'Stargate' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly'
 'Angle' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly'
 'Merkly' 'Merkly' 'Stargate' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle'
 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Angle' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Angle']",1374.73,15.45,3,8,16,2023/7/26 10:21,2,24.59,"[0, 0, 0, 0, 0.01]"
20524970,0x07f955ed42b71e3879abdfabd156e900dd966972,0.929,Tether : Binance,62,"['Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly'
 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Stargate' 'Merkly' 'Merkly'
 'Merkly' 'Angle' 'Merkly' 'Angle' 'Angle' 'Merkly' 'Merkly' 'Merkly'
 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle'
 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Stargate' 'Angle'
 'Angle' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Angle' 'Merkly' 'Merkly'
 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Angle']",1890.7,30.5,3,7,17,2023/7/26 0:57,2,54.9,"[0, 0, 0, 0, 53.16]"
20524950,0x6c67301dad85c6a5d7608ade8626703a2c815435,0.929,Tether : Binance,69,"['Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly'
 'Merkly' 'Angle' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Angle' 'Merkly' 'Stargate' 'Angle' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle']",1069.92,15.51,3,7,16,2023/7/26 9:46,2,2.76,"[0, 0, 0, 0, 0.36]"
20524816,0xfa2adc9f6039e02ee1fa72598d485d04db0bff5f,0.919,Tether : Binance,70,"['Stargate' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Stargate' 'Angle' 'Merkly' 'Merkly' 'Stargate'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Stargate' 'Merkly' 'Angle' 'Angle' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Stargate' 'Merkly' 'Angle'
 'Stargate' 'Angle' 'Angle' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Stargate'
 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly']",1395.33,19.93,3,8,18,2023/7/25 23:47,2,30.59,"[0, 0, 0, 0, 0.01]"
