Funding block,address,Funding Amount[CELO],Funding Entity
20808474,0x1e32fe8158696e989c01c87ec110615955491939,2.0432,Tether : Binance
20808331,0x14c67c5602b1fb6747357dc2c341cc726e7e9f40,2.0244,Tether : Binance
20807412,0x19cac0117ebc8569ce845926c4ab01a8031d99d5,1.951886,Tether : Binance
20807131,0x82dc13a1dbe7d8bf0a6976d006ca9704f369d8b5,2.010981,Tether : Binance
20807116,0x89f0cb0415d956237e0a8bee15f7e6d50c2370c5,2.012714,Tether : Binance
20807104,0x4d231f551d01e4734f4bd48d9a37a969655eb509,2.007722,Tether : Binance
20807093,0x440cc7c3b42306300b2b276dce227620599e768b,2.010484,Tether : Binance
20807080,0xd35a63c838d6932a010bcb3b276aea5842bd8f4e,2.005288,Tether : Binance
20807068,0x94cd164399a0b8be7a1083a3ff916f20aff1438c,2.014358,Tether : Binance
20807057,0xe7262aa667e2edf5f76902965c66dce2bfdc7ba5,2.012813,Tether : Binance
20807044,0x48e2842177bb245a9770084695daaac57a5cb21c,2.010648,Tether : Binance
20807034,0x6658b5a63bad1139886ed10c21f70c011f2375d1,2.003896,Tether : Binance
20807022,0xd1d5b1c8693e2b9543dd8d9dd6bd936ebe5645c1,2.000177,Tether : Binance
20807016,0xe694a85b6751536a74a19a8e9eccf758d4ed10d6,1.999,Tether : Binance
20807009,0x3fab5101cbe576b35e7a2104e9a5a1da65bd18d3,1.999471,Tether : Binance
20806996,0xc8ffe2f6460fecf538096faae6eb750530299a11,2.012496,Tether : Binance
20806984,0x136ba5b3a3b7552495eaf6001d0e927431c39162,2.001608,Tether : Binance
20806973,0x77a610035aa94367ad2fde46340c4baf33216279,2.016359,Tether : Binance
20806960,0xe31f96c1c943cb278428319a5591a656916dcc6b,2.010247,Tether : Binance
20806950,0x1f02706649c591638957c006b74f82cd7b160b9d,2.008924,Tether : Binance
20806938,0xf359a328d5df8281216bc00db854da8b8dfc970e,2.018167,Tether : Binance
20806925,0x961e858acfd5453aeb6f0f8cf3b7132ab38970c5,2.01333,Tether : Binance
20806915,0xcad7263b3919d17dfd84bea193c2c73ed98507cd,2.003259,Tether : Binance
20806903,0x83a57be5d51c29cd1eef0588536a0d8da1fd303e,2.017623,Tether : Binance
20806888,0xf9242169c4b148940f27c823a0d7fa016429cc67,2.012367,Tether : Binance
20806884,0xfb10c06fbeddc8e91e062b5d6af70befc8839e8a,1.999,Tether : Binance
20806876,0xc24c6ec71ab24b1cc68fee63cba70e406d3f7768,2.001787,Tether : Binance
20806866,0x7b1ea0dd040192fd51b7b90f2df90090f0fd481f,2.001783,Tether : Binance
20806853,0x3e7c773f7afed33c6163ca2c800eae8e023bad20,2.002361,Tether : Binance
20806841,0xac781ed8b1c6668deebe5a9a397bc1a8f91243db,2.006846,Tether : Binance
20806828,0x4c283caef16b60deca22ace9bac656c72eabe9f6,2.016932,Tether : Binance
20806816,0x1e00accc4b46a2f3433a75ed9f3bc9613f14ac92,2.017611,Tether : Binance
20806804,0xafb50650298715aa975beaab65491e3e965c4ef0,1.999865,Tether : Binance
20806794,0xb6c8ea5454b153e216caffdc82f37cf0a2066434,2.01039,Tether : Binance
20806780,0xca71ac46fc58b9dfc6b245982551f5e9a8127426,2.011362,Tether : Binance
20806768,0x1eb64ec0b026dcd79ddf2bd15c3381a4dfb4555e,2.015103,Tether : Binance
20806758,0xa59bdf789e3543279ac5fbb52565bb7706021373,2.016352,Tether : Binance
20806744,0x14d8c60ac257b2340b1eaff16ec61d77eb0a7ce6,1.999694,Tether : Binance
20806742,0x8a1ce8488ce992f4a1c71859a0a95068c9685346,1.965309,Tether : Binance
20806733,0x4b0236a5a549a547f8a84192f151b39be106ee4b,2.011529,Tether : Binance
20806720,0x98d3a12aa814c76f5fe43157bd012fff377b2396,2.00843,Tether : Binance
20806708,0xe2716fa0ac8b466c47413ab2e48798416f4d6a64,2.012515,Tether : Binance
20806697,0xa13f473fd93631b053ada27958fd326e03746ae5,2.003098,Tether : Binance
20806684,0x7d7dd87366e828e1844691ccbd786662aab01d3a,2.015042,Tether : Binance
20806674,0x4206436227181b12d43a50f31561a6472c8957a0,2.009777,Tether : Binance
20806660,0x9f892527b0b73832a6ea368753f5aca8e748a714,2.016801,Tether : Binance
20806648,0x2aa5db5fdd2b4ba1cfa293970e4405c263f8b51d,1.999718,Tether : Binance
20806636,0xeefd7b5bb09d6c1745637e62c83e2bafd79c1ade,2.015034,Tether : Binance
20806627,0x0d2fe56135091a31711929d10e2b894646b1e389,2.017359,Tether : Binance
20806613,0xacaf855b4a583e75615504f7f9f49b3816d726cd,2.017746,Tether : Binance
20806601,0x1db950da32f4df2af400396874ddd6004dd4952a,2.00188,Tether : Binance
20806588,0xe8c3dff5be17f2bf7e76f02aecddddb9512c8c3d,2.009837,Tether : Binance
20806576,0x48a9a84ba0fc33056e723901f757072d87e68750,2.017181,Tether : Binance
20806564,0x64590a033f934bc446bad0fb505b73c8fba7e138,2.006617,Tether : Binance
20806555,0x67cf61ece9221da17b2bfc32f7d06c586180e499,2.00071,Tether : Binance
20806540,0xa2712fc5d8f7a82331338e7474edbfb1b0ccecfb,2.016308,Tether : Binance
20806528,0x593c60bdb1bdb1958c2abe2c3ed1beb403dabfd1,2.017555,Tether : Binance
20806516,0x435e5028bed4fad098af9aa7c1d40f593f8b395a,2.001912,Tether : Binance
20806504,0x8cfcd4d8e04a77e05f2c5590097de6df5a943b26,2.015222,Tether : Binance
20806493,0xa7a8c84f943ff5e32d7f68b3e131741f3e02169a,2.001767,Tether : Binance
20806481,0xf3761c0d0d02df914ec5860e8c60109f13c479ad,2.018785,Tether : Binance
20806470,0xa4178ece5f544fd95cbfd84d789ff682c3890488,2.007268,Tether : Binance
20806457,0xe0a94944d2b3d8c73623100292e55445303069a8,2.013413,Tether : Binance
20806444,0x5f1788509dc7ccdaabb424fdeef3dcc898316fa8,2.014857,Tether : Binance
20806434,0x0a95adb8a64c89fca461ff34489616d4e66dd585,2.011429,Tether : Binance
20806420,0x7acd099b17954dc41fbde7ede95c8be4652915c1,2.001481,Tether : Binance
20806409,0x7f2c48e1e3a40abb907d4ef119c5461c459ef606,2.000997,Tether : Binance
20806399,0x57098a6b708431b9cec94cb1f85d99e9ea5cf3bf,2.001886,Tether : Binance
20806384,0x2c3d5148e87a613c4f3d66edda9acf4731070474,2.003311,Tether : Binance
20806373,0x5f6999bebda337e88aa7918ca9a21ef9a8e4a4a3,2.012611,Tether : Binance
20806360,0x7d969f2ea1029fa74e4cbd3661d9949bb44ce0fa,2.001527,Tether : Binance
20806350,0x955df1e15b79282cc43f7527417f5fb20a45606b,2.001203,Tether : Binance
20806336,0xd9654c9e1258fdfa56b43f553bab05257178ace5,2.01739,Tether : Binance
20806324,0xf30129ee27ba794b0605924bedb26f1acdd1af65,2.00399,Tether : Binance
20806314,0x4b3dfc680850401abe9f95e697d1e13c9d02de83,2.005295,Tether : Binance
20806300,0x61ce3a794f77077492324cde9e8d163edd59f311,2.000562,Tether : Binance
20806288,0xb919a18fade870aa840bcd0376f12a8c0ceb96c6,2.017563,Tether : Binance
20806276,0xbfc34fb79fdcdeecd4c114130ff0f664d34e8a89,2.015794,Tether : Binance
20806265,0xed0174ae95ca55170a0629636088619b3954319a,2.009504,Tether : Binance
20806253,0xc58b1ed8ff35c5bc493c20b1e46ab194140c1aaf,2.011386,Tether : Binance
20806241,0xea513de6e2a9d1ea9159441e5f4ee939e3918383,2.016389,Tether : Binance
20806228,0x328b06d403728f8539a8d4a6a0a7ee5ae7c330e0,2.011496,Tether : Binance
20806216,0x6241178dcbe9baeb1bf247d5791eb60a4b9094ae,2.001636,Tether : Binance
20806204,0x8422d3106fa6c542f8a02b48bc5fba337e88b336,2.017868,Tether : Binance
20806202,0x7c5b70ace7b197ee11294954992a0e32b3a3c5b8,2.00611,Tether : Binance
20806195,0x0ad90a30b376a68ef6f1a61b120e2fe496c578da,2.013045,Tether : Binance
20806180,0xc4684583d71002bf491d84bd0ae950229ae51c6c,2.001192,Tether : Binance
20806169,0x32396606761236d5b72ede45aa2f9768e50901b8,2.014128,Tether : Binance
20806156,0xe0d15508c46d8839ee310ba53b5de96844954146,2.005925,Tether : Binance
20806144,0xe6025deb7b8cc5402741efd7a267834eb65ff353,1.999204,Tether : Binance
20806133,0x23c4b32e132f4bf03aba0b8b01219c31e18deb86,2.015466,Tether : Binance
20806121,0x52f5b86355e7b2f26f1e4a0dfae8fba2a272469e,2.012313,Tether : Binance
20806108,0x8b8b3cd84322fed0c0ba057256f198a565fd5f6b,2.005077,Tether : Binance
20806096,0x4465b106f3ceae961207f21555178a0de19e1691,2.008464,Tether : Binance
20806084,0x4a6aa9ac7a81fd08582ceb2e6409c1db088d9b72,2.001413,Tether : Binance
20806074,0x4d60b81495bfaa9571549e44b28de839e6ac1e07,2.01385,Tether : Binance
20806062,0xb20622b412a59ce366ae55d22023fef69cc3712d,2.013845,Tether : Binance
20806049,0x2823a39f0ee623aee6b26d5444d97efe2ac27321,1.999617,Tether : Binance
20806036,0xf1fde9e3d5e53e4fddda5164ecb5e4dd53345477,1.999699,Tether : Binance
20806024,0xe0f1989be082116826d33717e266e9690cd80eda,2.002158,Tether : Binance
20806013,0x6070a1e04eb76cc3ebff50ec13267ec3fa5e0eb0,2.004814,Tether : Binance
