Funding block,address,Funding Amount[CELO],Funding Entity,Exists_in_Large_File,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,EarliestLZdata,affinity,Onmichain Balance$,eth linea base scroll zks Balance$
20748207,0xe4493e5f1487ff5a6cdfedc2cf325a016d560893,1.999,Tether : Binance,FALSE,6,[nan nan nan nan nan nan],0,0,1,2,4,2023/8/9 11:13,0,4.78,"[2.47, 0.0, 0.38, 0, 0.26]"
20694356,0xfe803c512d7b9f4dc22350a287fd51ad05cc1e6b,1.999,Tether : Binance,FALSE,10,[nan nan 'Stargate' nan nan nan nan nan nan nan],19.59,1.96,2,5,7,2023/7/14 11:16,0,397.89,"[133.68, 67.57, 0, 12.5, 109.76]"
20692988,0x29beee77d7b4f5a997f93405d4d082cd2e21bda7,1.999,Tether : Binance,FALSE,11,"['Stargate' 'Stargate' 'Stargate' 'Angle' 'Angle' 'Stargate' 'Stargate'
 'Angle' 'Stargate' 'Stargate' 'Stargate']",207.21,18.84,2,3,9,2023/1/6 17:04,0,108.49,"[25.64, 0, 0, 0, 1.7]"
20691824,0xec91d830fb3ee799147388351fb43a53a78b9c92,1.999,Tether : Binance,FALSE,8,['Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan],1515.1,189.39,2,5,7,2023/6/6 18:59,0,822.81,"[189.12, 398.08, 0, 49.24, 117.65]"
20674701,0x1d7a92401e18694c29162f121191d373997ba033,1.999,Tether : Binance,FALSE,33,"[nan nan nan nan nan nan nan 'Merkly' 'Merkly' nan 'Merkly' nan nan nan
 nan 'Merkly' nan nan nan nan 'Merkly' 'Merkly' 'Merkly' nan nan nan
 'Merkly' nan nan nan 'Merkly' nan nan]",1.43,0.04,2,3,10,2023/7/27 12:23,0,105.33,"[2.65, 0, 45.24, 0, 3.52]"
20667698,0x76e954ba8213bc05c1905c806057051c89b1026d,2.045453,Tether : Binance,FALSE,8,[nan 'CoreDAO' 'CoreDAO' nan 'CoreDAO' nan 'Aptos Bridge' nan],0,0,3,2,6,2023/7/31 20:08,0,54.53,"[17.6, 0, 15.18, 0, 0]"
20665329,0x38be5ac3977e9c503f05c49ca0fbb9d03c2e9a41,1.999,Tether : Binance,FALSE,6,['Angle' 'Stargate' 'Angle' 'Merkly' 'Angle' 'Stargate'],0.27,0.05,3,5,6,2022/11/27 16:09,0,13.39,"[0.0, 0.0, 0.0, 0, 0.01]"
20664003,0xb62e6bd28ab86217da2bbb1fbad811e67d131f6c,1.999,Tether : Binance,FALSE,15,"[nan nan nan nan nan nan nan nan nan nan 'StakeStone' 'Stargate' nan nan
 'CoreDAO']",130.74,8.72,4,6,11,2023/7/21 12:05,0,6625.78,"[343.24, 445.26, 0.0, 237.41, 125.42]"
20658095,0xeece1bc96158167ee009143ea76e4767ce3e6022,2.0105,Tether : Binance,FALSE,14,"[nan 'Stargate' 'Angle' 'Stargate' 'Angle' 'Stargate' nan 'Angle' nan nan
 'Angle' 'Angle' 'Stargate' 'CoreDAO']",80.54,5.75,4,7,7,2023/4/10 10:04,0,64.31,"[16.08, 0.75, 0.0, 0, 25.84]"
20658085,0xec16bbf8059fd6e8b7d103cf9a08c25183c4c413,1.9999,Tether : Binance,FALSE,14,"['Angle' 'Angle' 'Stargate' 'Stargate' 'Angle' nan 'CoreDAO' 'Angle'
 'Angle' nan 'Stargate' 'Stargate' nan nan]",97.26,6.95,4,7,7,2023/4/10 10:04,0,96.33,"[16.79, 29.86, 0.0, 0, 25.58]"
20657909,0x92321b7ff450632586da1865fab8f8d0299bfdb9,2.0123,Tether : Binance,FALSE,17,"['Stargate' 'Angle' 'Stargate' 'Angle' 'Stargate' 'Stargate' 'Angle' nan
 'Stargate' 'Stargate' nan nan 'Angle' 'CoreDAO' 'Angle' nan 'CoreDAO']",1181.73,69.51,4,7,7,2023/4/8 16:43,0,122.55,"[33.35, 41.89, 0.0, 0, 19.14]"
20654910,0xdeffcf3848df2d86546754a1ead118850b67f7c6,1.999,Tether : Binance,FALSE,8,[nan nan nan nan nan nan 'StakeStone' nan],0,0,2,5,7,2023/7/11 6:15,0,1787.37,"[1599.66, 0.03, 0, 39.63, 0]"
20654895,0xdf2748ee9de8e6a470abadd6088e354008e6df00,1.999,Tether : Binance,FALSE,7,[nan nan nan nan nan nan 'StakeStone'],0,0,2,5,7,2023/7/12 7:32,0,367.81,"[83.15, 33.94, 0, 40.16, 59.19]"
20634763,0x32f1d25ef505168b2c9543002506971fa751dd1e,1.999,Tether : Binance,FALSE,7,[nan nan nan nan nan 'Tevaera' 'OmniHub'],0,0,3,5,7,2023/8/1 0:05,0,184.3,"[15.74, 0, 38.19, 33.82, 37.64]"
20617339,0x7f6058d0503bf7078d14718a6254e1562fdbb6ba,1.999,Tether : Binance,FALSE,6,[nan nan nan nan 'Stargate' nan],0.82,0.14,2,2,4,2023/7/28 18:13,0,144.6,"[31.28, 0, 12.36, 0, 6.08]"
20616281,0x1fa8a5d0638311e125e7c42677b33d80f4adeccb,1.999,Tether : Binance,FALSE,18,"['Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'CoreDAO'
 'Stargate' 'Holograph' 'Stargate' 'Stargator' 'Stargate' 'Stargate'
 'Stargator' 'CoreDAO' 'Stargate' nan 'Stargate']",126.16,7.01,5,7,7,2023/4/9 7:39,0,201.31,"[1.36, 30.74, 0, 22.14, 116.02]"
20614478,0xd7f52a6101809bbad42ee6b979ca6ef3cd1e6fb7,2.038,Tether : Binance,FALSE,11,"['Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan 'Stargate'
 'Stargate' 'Stargate' nan]",224.24,20.39,2,5,6,2023/5/3 15:26,0,86.27,"[0, 0, 0, 0, 0]"
20613262,0xac58b25f2c5024fe2683313b471aed3a927a1f55,1.999,Tether : Binance,FALSE,38,"[nan 'Stargate' nan nan 'Stargate' 'Stargate' nan nan 'Stargate' nan nan
 'Stargate' nan nan 'Harmony Bridge' 'Stargate' nan 'Stargate' 'Stargate'
 'CoreDAO' 'Holograph' nan nan 'Stargate' nan 'Harmony Bridge' nan
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan nan
 'Stargate' nan nan]",291.41,7.67,5,5,7,2023/5/31 19:41,0,75.9,"[0.42, 0, 0.0, 0, 55.43]"
20609010,0x956bd536f309d14f993c0b16b0a048a6dda2eccb,1.999,Tether : Binance,FALSE,6,[nan nan nan nan nan nan],0,0,1,3,4,2023/7/30 10:43,0,30.02,"[8.94, 0, 0, 0, 0]"
20607073,0x2999586db2dc55177715b804d92dee31d82c3bf2,1.989433,Tether : Binance,FALSE,6,['Stargate' 'Stargate' 'Stargate' 'Omni X' nan 'Stargate'],9.19,1.53,3,5,7,2022/12/2 8:21,0,186.89,"[1.61, 5.92, 97.62, 0.04, 0]"
20600849,0x787e04c01cfdb89f3f395114beb3e899670e567a,1.980272,Tether : Binance,FALSE,18,"['Holograph' 'Holograph' nan nan 'Interport Finance' nan nan nan nan
 'Interport Finance' nan 'Stargate' nan nan nan 'Stargate' nan 'CoreDAO']",1.21,0.07,5,5,7,2023/6/26 21:04,0,453.9,"[28.82, 14.0, 5.7, 0, 11.47]"
20596987,0x0b32edd47f8e439c83868c4e58337e28807fad2c,1.999,Tether : Binance,FALSE,16,"['Stargate' 'Stargate' 'Aptos Bridge' 'Holograph' 'Holograph' 'Stargate'
 'Holograph' nan nan 'Holograph' nan 'Stargate' 'Stargate' nan 'Stargate'
 'Holograph']",604.01,37.75,4,5,7,2023/4/28 21:53,0,545.89,"[45.38, 400.4, 3.5, 8.85, 7.42]"
20596329,0x18c3f102f75cac43477218333ee3980c46feefa6,1.999,Tether : Binance,FALSE,11,"['Stargate' 'Stargate' 'Stargate' 'Holograph' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan]",404.62,36.78,3,2,5,2023/6/3 21:02,0,0.04,"[0, 0, 0, 0, 0]"
20591740,0x6f0b9ec5c2b95db5da61903951f2bb2c29647205,2,Tether : Binance,FALSE,6,[nan nan nan nan nan nan],0,0,1,3,6,2023/7/28 6:26,0,91.53,"[7.06, 0.0, 69.52, 1.16, 0.12]"
20574198,0x2bd70e86491ce6ba8f31f2317ce728ae446c45e0,2.019,Tether : Binance,FALSE,11,[nan nan nan 'Stargate' nan nan 'Stargate' nan nan 'Stargate' 'Stargate'],456.59,41.51,2,5,10,2023/6/19 20:23,0,323.62,"[83.75, 13.35, 45.72, 50.01, 115.46]"
20553944,0xe92fd96931282086011a692ad1c50eb65220ceb5,1.979,Tether : Binance,FALSE,10,[nan nan nan 'CoreDAO' 'Stargate' 'Stargate' 'CoreDAO' nan nan nan],538.66,53.87,3,5,7,2022/10/7 1:55,0,2750.97,"[1259.56, 0.0, 0.0, 0, 264.16]"
20546519,0x8acc14979afc7af5487643ec850a276bf0eadbfe,2.082,Tether : Binance,FALSE,8,"[nan 'Stargate' 'Harmony Bridge' nan 'Aptos Bridge' 'Stargate'
 'Radiant Capital' 'Harmony Bridge']",193.79,24.22,5,3,7,2023/6/5 9:27,1,150.09,"[83.41, 0, 0, 0, 0]"
20539330,0x921e6dd8c18490caabb9dd9eab0602b7ab5eee1d,2.099,Tether : Binance,FALSE,16,"[nan nan nan nan nan nan nan nan 'GameSwift' nan nan 'Interport Finance'
 nan nan nan nan]",0,0,3,5,6,2023/7/15 5:47,1,117.75,"[27.25, 0, 17.49, 0.14, 0]"
20535883,0x82a8c80c50c0fd7a94edf9b00b8d56e3ddd22bc5,2.088134,Tether : Binance,FALSE,16,"['Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle']",0,0,1,3,3,2023/7/26 5:13,1,175.99,"[172.87, 0.16, 0.01, 0, 0.03]"
20531441,0x23bcde752e47fc7522d306bd6fe16490b2b6b917,2.093228,Tether : Binance,FALSE,32,"[nan 'CoreDAO' 'CoreDAO' 'Merkly' nan nan nan 'CoreDAO' nan nan nan nan
 'Merkly' nan 'Merkly' nan 'Stargate' nan nan nan nan nan nan 'Stargate'
 nan nan nan nan nan nan nan 'CoreDAO']",6.78,0.21,4,5,10,2023/7/21 19:39,1,11,"[1.0, 0.56, 0.04, 0, 0.64]"
20514124,0x1a3116de144e35625bdfa1599f606c9a5eb38e10,2.099,Tether : Binance,FALSE,23,"['Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle']",0,0,1,3,7,2023/7/25 22:07,1,25.93,"[0.4, 0, 0, 0, 22.94]"
20506469,0x6dcef46647f0901adc6c84f59e88f3e163f30581,2.099,Tether : Binance,FALSE,11,"['Stargate' 'Bitcoin Bridge' 'Aptos Bridge' 'Aptos Bridge' 'Holograph'
 'Bitcoin Bridge' 'Aptos Bridge' nan 'Stargate' 'Bitcoin Bridge'
 'Stargate']",130.09,11.83,5,5,7,2023/6/30 12:12,1,354.56,"[7.99, 31.89, 55.61, 35.78, 58.82]"
20504390,0xdd23da9136917e58d4ae83711e8f9981bdf9c9f8,2.1,Tether : Binance,FALSE,7,['Holograph' nan nan nan nan nan nan],0.22,0.03,2,3,6,2023/7/24 9:28,1,197.37,"[138.47, 0, 25.46, 0, 11.38]"
20494830,0xf58dc726b47966bf7e46f02a5461f526c277b65d,2.0915,Tether : Binance,FALSE,21,"['Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Merkly' nan 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle'
 'Merkly' 'Merkly' 'Merkly' 'Merkly']",0.1,0,3,4,12,2023/8/5 8:41,1,10.79,"[3.94, 0, 0, 0, 1.54]"
20472934,0xb06c3517f474270b2bf2b9da328333dee5c25d8e,2.099,Tether : Binance,FALSE,40,"['Bitcoin Bridge' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Holograph' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Holograph'
 'Bitcoin Bridge' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Bitcoin Bridge' 'Stargate' 'Stargate' 'Aptos Bridge' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Holograph' 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Bitcoin Bridge' 'Stargate']",2699.25,67.48,5,5,6,2023/3/25 0:30,1,58.39,"[7.71, 0.26, 0.62, 1.08, 5.35]"
20472875,0xcbad2609a25373d133d48ecb7204515e9590f610,2.099,Tether : Binance,FALSE,39,"['Aptos Bridge' nan 'Stargate' 'Holograph' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Holograph' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Bitcoin Bridge' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Bitcoin Bridge' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Holograph' 'Stargate' 'Stargate']",2693.17,69.06,5,5,6,2023/3/25 23:57,1,49.13,"[9.21, 0.04, 0.62, 0.39, 5.41]"
20472809,0x005dec987e8262f89c28a18b0566c7af701ab739,2.099,Tether : Binance,FALSE,39,"['Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Aptos Bridge' 'Stargate' 'Stargate' 'Stargate' 'Holograph'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Holograph' 'Stargate'
 'Bitcoin Bridge' 'Holograph' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Bitcoin Bridge' 'Aptos Bridge']",3074.08,78.82,5,5,6,2023/3/24 16:17,1,48.33,"[7.72, 0.04, 0.62, 0.72, 5.34]"
20472607,0x518fd2e4e0b95411329c7344a04f9428344dabf5,2.099,Tether : Binance,FALSE,41,"['Stargate' 'Bitcoin Bridge' 'Stargate' 'Bitcoin Bridge' 'Stargate'
 'Stargate' 'Stargate' 'Holograph' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Bitcoin Bridge' 'Stargate' 'Holograph'
 'Holograph' 'Stargate' 'Stargate' 'Aptos Bridge' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate']",3116.63,76.02,5,5,6,2023/3/23 21:15,1,47.4,"[7.32, 0.04, 0.62, 0.39, 6.27]"
20472354,0x5c9d52e38e9e669149ef95e541333373b433cd97,2.099,Tether : Binance,FALSE,37,"['Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Bitcoin Bridge' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Bitcoin Bridge' 'Stargate' 'Bitcoin Bridge' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Holograph' 'Aptos Bridge' nan 'Holograph' 'Holograph' 'Stargate'
 'Stargate']",2704.65,73.1,5,5,6,2023/3/22 14:02,1,72.22,"[7.75, 0.04, 0.2, 0.22, 6.23]"
20451266,0x46582bfc6a1a9acde5e595042af7e859afd341fb,2.071523,Tether : Binance,FALSE,13,"['Stargate' 'Bitcoin Bridge' nan 'Stargate' nan 'Bitcoin Bridge'
 'Bitcoin Bridge' nan nan 'Merkly' nan 'Stargate' 'Bitcoin Bridge']",1317.07,101.31,4,5,7,2023/3/26 5:32,1,13.76,"[0.0, 0, 3.14, 0, 0]"
20451235,0x087b21bab424fd5be4ead3f68dcfaa91cea1def0,2.097277,Tether : Binance,FALSE,12,"[nan 'Stargate' nan 'Bitcoin Bridge' 'Stargate' nan 'Merkly' nan
 'Stargate' nan nan 'Bitcoin Bridge']",1174.84,97.9,4,5,7,2023/3/23 23:31,1,8.38,"[0.0, 0, 3.14, 0, 0]"
20451155,0x8a4e1a97ff17396e72fb27d9b854b9afd9dfc852,2.097645,Tether : Binance,FALSE,12,"['Stargate' nan 'Stargate' 'Bitcoin Bridge' 'Stargate' nan nan
 'Bitcoin Bridge' nan nan 'Stargate' 'Merkly']",1308.94,109.08,4,5,7,2023/3/26 1:34,1,15.15,"[0.0, 0, 3.14, 0, 0]"
20451114,0xb4f89b2f4cc0fe52f4bf011243ba095cfcce0ad8,2.099,Tether : Binance,FALSE,7,"['Radiant Capital' 'Stargate' 'Stargate' 'Aptos Bridge' 'Stargate'
 'Stargate' 'Radiant Capital']",1108.62,158.37,3,3,5,2023/5/30 23:51,1,143.17,"[65.05, 0, 0, 0, 0]"
20450526,0x99e4a35bb1315e81a05e24ddafb3c242feca8f93,2.089934,Tether : Binance,FALSE,9,[nan 'Merkly' 'Stargate' nan nan 'Stargate' nan nan nan],664.28,73.81,3,5,7,2023/5/30 1:36,1,10.23,"[0.0, 0, 3.15, 0, 0]"
20450518,0x3f520a55430433aa5d7a095007c0564e08d46d17,2.084597,Tether : Binance,FALSE,11,"['Bitcoin Bridge' nan 'Stargate' 'Bitcoin Bridge' nan 'Stargate' 'Merkly'
 nan nan nan nan]",637.13,57.92,4,5,7,2023/3/28 8:14,1,11.33,"[0.0, 0, 3.14, 0, 0]"
20450368,0xfafebb9b8b90568aab1e04eeb962771728dba841,2.074671,Tether : Binance,FALSE,14,"[nan 'Stargate' nan nan 'Stargate' nan 'Bitcoin Bridge' nan 'Stargate'
 'Bitcoin Bridge' nan 'Merkly' nan 'Holograph']",1304.11,93.15,5,5,7,2023/3/24 13:04,1,15.06,"[0.0, 0, 3.14, 0, 0]"
20449778,0x88806518cb7fc90864e8fc441b9cb7490ddfc9fa,2.076837,Tether : Binance,FALSE,14,"['Bitcoin Bridge' nan 'Stargate' nan nan nan 'Merkly' 'Stargate'
 'Bitcoin Bridge' 'Bitcoin Bridge' nan 'Stargate' nan 'Bitcoin Bridge']",1298.04,92.72,4,5,7,2023/3/26 4:58,1,13.09,"[0.0, 0, 3.14, 0, 0]"
20449629,0x4dc84c33f59b682a344e0a04aec4c86be0a0298e,2.085956,Tether : Binance,FALSE,14,"['Bitcoin Bridge' nan nan nan 'Stargate' nan nan 'Stargate' nan 'Merkly'
 'CoreDAO' 'Bitcoin Bridge' 'Stargate' nan]",1169.15,83.51,5,5,7,2023/3/28 7:22,1,11.42,"[0.0, 0, 3.14, 0, 0]"
20444385,0xaf8330cfc174d98d0b656383a8598518310f2aff,2.099,Tether : Binance,FALSE,12,"['Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly'
 'Angle' 'Angle' 'Merkly' 'Stargate']",699.96,58.33,3,5,7,2023/7/23 23:35,1,8.52,"[0, 0.15, 0, 0, 0]"
20431872,0x100c6c26fa734243c4dacc6dca81bd99a9fbac36,2.070811,Tether : Binance,FALSE,6,[nan nan nan nan nan nan],0,0,1,3,4,2023/7/3 14:46,1,89.27,"[5.16, 1.08, 0.0, 0, 48.54]"
20426936,0x476029565a43a6bb9b9768ee30299dbdfe4883e3,2.099,Tether : Binance,FALSE,10,[nan nan 'Merkly' 'Stargate' nan nan nan nan nan 'Stargate'],5.7,0.57,3,5,7,2023/5/24 21:26,1,680.49,"[36.46, 2.6, 1.19, 0, 81.87]"
20404278,0x8e96bdd08209c0ef3c5af9692d29aa24a6878ac2,2.072156,Tether : Binance,FALSE,19,"[nan 'Stargate' nan nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate']",3001.2,157.96,2,5,7,2023/7/14 13:48,1,64.03,"[0.05, 0, 0.29, 20.18, 16.05]"
20403787,0xe3339f256e48efcad9fc07e6668cbc2c2127ca4e,2.08789,Tether : Binance,FALSE,22,"['Stargate' nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate']",4017.61,182.62,2,5,7,2023/7/14 14:01,1,185.43,"[0.06, 0, 0.65, 131.39, 31.92]"
20403584,0xae4442c3decb6f52e9fd9edc9121a6d3be46542d,2.089394,Tether : Binance,FALSE,24,"['Stargate' nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate']",5236.87,218.2,2,5,7,2023/7/14 13:27,1,112.5,"[0.04, 11.19, 0.98, 13.28, 64.38]"
20403515,0x6499cd9a4865411636f80a9d128bfd614f5cb4a0,2.088209,Tether : Binance,FALSE,26,"['Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate']",5106.87,196.42,2,5,7,2023/7/14 13:13,1,40.92,"[0.05, 0, 0.01, 7.02, 10.3]"
20403240,0xb06de7251d4eed8722af06e5c8ec8b5458966083,2.099,Tether : Binance,FALSE,7,[nan 'Stargate' nan nan nan nan nan],68.95,9.85,2,5,6,2022/11/17 11:27,1,30,"[0.2, 0, 18.43, 0, 4.13]"
20402963,0x1a3ac6bd05637a4d3b9b93354f13417b932cb162,2.099,Tether : Binance,FALSE,21,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 'Stargate' nan nan]",69.99,3.33,2,5,6,2022/11/17 10:50,1,31.87,"[4.85, 0, 18.31, 0, 4.22]"
20402926,0x333ca16978a03a094fe8cab81b22b81b1f8efd94,2.074949,Tether : Binance,FALSE,39,"['Stargate' nan nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 nan nan 'Stargate' 'Stargate' nan 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate']",4182,107.23,2,8,9,2023/4/21 21:40,1,86.27,"[0.15, 0, 0.42, 13.01, 31.82]"
20402722,0x0dc32612a705bed3f1e63e89e1100a6af7a7042d,2.071664,Tether : Binance,FALSE,24,"['Stargate' 'Stargate' 'Stargate' nan nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate']",4522.92,188.46,2,5,7,2023/7/14 12:59,1,44.39,"[0.06, 0, 0.01, 0, 9.98]"
20805439,0x7514bd82c9a7fcbf12cd483ed1a5985d99c1127d,1.999,Tether : Binance,FALSE,13,"[nan 'Aptos Bridge' nan nan 'Stargate' 'GetMint' nan 'Holograph' nan nan
 nan 'OmniArt' nan]",1.87,0.14,6,5,10,2023/4/20 13:40,2,112.85,"[2.0, 1.86, 30.95, 3.31, 4.36]"
20802533,0xf0757e7433363a393f93bd88af5c677dfcdab122,1.999,Tether : Binance,FALSE,9,[nan nan 'StakeStone' nan 'Stargate' nan nan nan nan],101.06,11.23,3,5,10,2023/7/13 15:29,2,3172.1,"[353.52, 480.46, 0.0, 248.75, 206.74]"
20801099,0x808c8d57cd4fdd7641bcf726b9b0f532fb4f5570,1.96851,Tether : Binance,FALSE,16,"[nan nan nan nan nan 'Stargate' 'Stargate' nan nan nan 'Stargate'
 'Holograph' nan 'Stargate' 'Stargate' 'Stargate']",6.26,0.39,3,3,8,2022/10/29 11:23,2,293.51,"[100.7, 10.92, 70.21, 0.17, 19.61]"
20799547,0x6f46e7f9ddbb13d40b3b8f614f6503eaa4d445ef,1.979,Tether : Binance,FALSE,28,"['Merkly' nan nan 'L2Pass' 'Angle' 'CoreDAO' 'CoreDAO' nan 'L2Pass' nan
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'CoreDAO'
 'Merkly' 'L2Pass' 'Angle' nan 'L2Pass' 'CoreDAO' 'Stargate' 'Angle'
 'L2Pass' 'Angle']",3323.21,118.69,6,4,12,2023/6/11 16:18,2,10.29,"[7.31, 0, 0.23, 0, 0]"
20798793,0x6d160a4a3710cdc581fbbe37f29dae40df4ddac8,1.976335,Tether : Binance,FALSE,15,"[nan nan 'Aptos Bridge' nan nan nan 'Stargate' nan nan 'Stargate' nan nan
 nan nan nan]",2.09,0.14,3,6,11,2023/8/7 14:30,2,734.03,"[45.59, 2.1, 70.08, 0, 0.82]"
20798150,0x97f533dce981c8d97d94f9d637e7b196b7ae2673,1.988191,Tether : Binance,FALSE,8,"['Tevaera' nan nan nan nan 'Abracadabra Money' 'Abracadabra Money'
 'Holograph']",0.08,0.01,4,3,6,2023/6/8 17:10,2,0.48,"[0.15, 0.0, 0.0, 0, 0.02]"
20797415,0xb43b0bace5b9f3a7a13019e640efaf5c59d193bd,2.015106,Tether : Binance,FALSE,26,"['USDV' 'Stargate' nan nan nan nan 'Stargate' nan 'USDV' 'Stargate' nan
 nan 'Stargate' nan nan nan nan nan 'Bitcoin Bridge' nan nan 'Stargate'
 nan nan nan 'Stargate']",918.7,35.33,4,6,12,2023/6/21 7:09,2,99.2,"[4.7, 4.22, 67.32, 0.23, 0.25]"
20788259,0x12cfdee53a84a87ca9990f63df16d6cb1d206595,1.999,Tether : Binance,FALSE,34,"['Aptos Bridge' 'Aptos Bridge' nan 'Aptos Bridge' 'Aptos Bridge'
 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge'
 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge' 'Stargate' 'Holograph'
 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge'
 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge'
 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge'
 'Aptos Bridge' nan 'Aptos Bridge' 'Aptos Bridge' nan 'Aptos Bridge'
 'Aptos Bridge' 'Aptos Bridge']",0.2,0.01,4,3,6,2023/5/13 14:51,2,654.59,"[166.3, 10.88, 122.92, 0, 108.95]"
