Funding block,address,Funding Amount[CELO],Funding Entity,Exists_in_Large_File,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,EarliestLZdata,affinity,Onmichain Balance$,eth linea base scroll zks Balance$
20451076,0x5c3f0ec0cb8afd255fc8412a53d3e7a80c837d96,1.9793,Tether : Binance,FALSE,23,"['Stargate' 'Aptos Bridge' 'Stargate' 'Merkly' nan nan nan 'Aptos Bridge'
 'Bitcoin Bridge' nan 'Holograph' 'Stargate' nan 'Harmony Bridge'
 'Stargate' nan 'Stargate' 'Stargate' nan 'Bitcoin Bridge' 'Stargate'
 'Stargate' 'CoreDAO']",1512.65,65.77,8,7,13,2022/11/6 10:02,14,188.02,"[30.73, 0, 8.43, 9.91, 75.16]"
20451065,0x0b20b480d60ee730302eefa9753d47d396956baa,1.994336,Tether : Binance,FALSE,25,"[nan 'Stargate' nan nan 'Holograph' 'Merkly' nan nan 'Aptos Bridge' nan
 nan 'Stargate' 'Stargate' nan 'CoreDAO' 'Stargate' nan 'Aptos Bridge'
 'Harmony Bridge' 'Stargate' nan nan 'Stargate' 'Stargate'
 'Harmony Bridge']",2628.46,105.14,7,7,12,2022/11/7 9:34,14,325.21,"[79.56, 19.27, 11.45, 5.95, 63.86]"
20451033,0x8795789fc6bccf262eedbbc8abb0b10adfc9e0ee,1.999,Tether : Binance,FALSE,34,"['Stargate' 'Stargate' 'Stargate' nan 'Merkly' 'Bitcoin Bridge' 'USDV'
 'Merkly' nan 'L2telegraph' nan 'USDV' 'Holograph' 'Aptos Bridge'
 'Aptos Bridge' 'Stargate' nan nan 'Bitcoin Bridge' 'Merkly'
 'Bitcoin Bridge' 'Holograph' nan 'Stargate' 'Stargate'
 'Maverick Protocol' nan 'Bitcoin Bridge' 'Stargate' 'Merkly'
 'Bitcoin Bridge' 'Stargate' 'Stargate' 'Stargate']",808.96,23.79,9,6,14,2023/7/22 15:51,14,301.11,"[14.42, 0, 1.92, 162.29, 80.27]"
20450902,0x2dfaddb16e79fd50a3b6d547f42e8423ca5264ad,2.032018,Tether : Binance,FALSE,23,"['CoreDAO' 'Bitcoin Bridge' 'Merkly' 'Stargate' nan nan nan 'Holograph'
 'Stargate' 'Bitcoin Bridge' nan 'Harmony Bridge' 'Stargate' nan
 'Stargate' 'Aptos Bridge' nan nan nan 'Stargate' 'CoreDAO' 'Stargate'
 'Aptos Bridge']",5523.17,240.14,8,7,13,2022/11/6 11:42,14,168.52,"[15.41, 0, 3.14, 12.66, 69.09]"
20450899,0xabace57675c376dfc3346d1b1bf984cdb8d962a7,2.036495,Tether : Binance,FALSE,22,"[nan 'Stargate' 'Stargate' 'Aptos Bridge' nan nan 'CoreDAO'
 'Bitcoin Bridge' 'Stargate' nan 'Stargate' nan nan 'Stargate'
 'Aptos Bridge' 'Stargate' 'Stargate' 'Bitcoin Bridge' 'Stargate'
 'Harmony Bridge' 'Bitcoin Bridge' 'Merkly']",2647.98,120.36,7,7,12,2022/11/7 10:40,14,243.27,"[7.86, 28.24, 13.23, 3.13, 54.39]"
20450877,0x99a1023f2fa3df50642389a656bdde69ed92c4d6,1.998849,Tether : Binance,FALSE,18,"['Stargate' nan 'Stargate' 'Aptos Bridge' 'Harmony Bridge' 'Holograph'
 'Stargate' 'Harmony Bridge' 'Merkly' 'CoreDAO' nan nan nan nan
 'Aptos Bridge' 'Stargate' nan nan]",130.56,7.25,7,7,12,2022/11/7 7:48,14,266.44,"[19.39, 27.71, 8.72, 16.39, 81.07]"
20450488,0x4cdde424b1a8de414cb6104815e0cb99352eb7d5,2.019387,Tether : Binance,FALSE,23,"['Bitcoin Bridge' 'CoreDAO' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Harmony Bridge' 'Stargate' nan nan nan 'Stargate'
 'Bitcoin Bridge' nan 'Aptos Bridge' 'Stargate' 'Holograph' nan
 'Aptos Bridge' 'Merkly' 'CoreDAO']",2420.04,105.22,8,7,12,2022/11/7 7:11,14,302.06,"[15.6, 23.0, 13.89, 5.25, 50.41]"
20450393,0xeb52819c5bfe32bb3d4bd3349a2d272a810fae17,2.033497,Tether : Binance,FALSE,20,"['Harmony Bridge' 'Merkly' 'CoreDAO' 'Stargate' 'Holograph'
 'Bitcoin Bridge' 'Aptos Bridge' nan nan nan 'Stargate' nan 'Stargate'
 'Bitcoin Bridge' 'Stargate' 'CoreDAO' nan 'Aptos Bridge' nan 'Stargate']",182.17,9.11,8,7,12,2022/11/7 8:01,14,236.22,"[42.91, 22.27, 12.87, 6.53, 73.09]"
20450314,0x77076edf969423812932eb705a634ac9ac829765,2.040037,Tether : Binance,FALSE,23,"['Holograph' 'Harmony Bridge' nan 'Stargate' 'Bitcoin Bridge' nan
 'Stargate' 'Aptos Bridge' 'Stargate' nan nan 'Stargate' 'Stargate' nan
 nan 'Stargate' 'Stargate' 'Bitcoin Bridge' 'Merkly' 'Aptos Bridge' nan
 nan 'CoreDAO']",2368.22,102.97,8,7,13,2022/11/6 21:23,14,234.09,"[4.7, 24.93, 16.93, 7.38, 71.84]"
20450162,0x03e6fd3c8c75ec19bc28907a9f12f84e40956123,1.980812,Tether : Binance,FALSE,24,"['Stargate' nan 'Stargate' 'Bitcoin Bridge' nan 'Stargate' 'CoreDAO'
 'Stargate' 'Stargate' nan nan nan 'Aptos Bridge' 'Holograph' nan
 'Stargate' 'Harmony Bridge' nan 'Aptos Bridge' 'Bitcoin Bridge'
 'Stargate' 'Bitcoin Bridge' 'Merkly' nan]",2383.59,99.32,8,7,13,2022/11/6 19:14,14,224.23,"[7.7, 25.1, 12.15, 6.24, 64.27]"
20450087,0x2cf5930aba06960db3087dbb1f9eaa2c791b3c84,2.006446,Tether : Binance,FALSE,23,"['Holograph' 'Stargate' nan 'Stargate' nan 'Bitcoin Bridge' 'Aptos Bridge'
 'Bitcoin Bridge' nan 'Aptos Bridge' nan 'Harmony Bridge' 'Merkly'
 'Stargate' 'Stargate' nan 'Stargate' nan nan 'CoreDAO' nan nan 'Stargate']",2342.74,101.86,8,7,13,2022/11/6 21:06,14,263.99,"[44.89, 22.57, 20.23, 4.43, 49.99]"
20449978,0xe4ed88217ea3838a273a7d1931cd390ff9b6af66,2.009744,Tether : Binance,FALSE,25,"['Stargate' nan nan nan nan 'Stargate' 'Merkly' 'Bitcoin Bridge'
 'Stargate' 'Harmony Bridge' nan nan 'Stargate' 'CoreDAO' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Aptos Bridge' 'CoreDAO' nan
 'Harmony Bridge' 'Bitcoin Bridge' 'Aptos Bridge' nan]",1571.61,62.86,7,7,13,2022/11/6 9:44,14,198.6,"[41.37, 0, 11.21, 13.75, 75.18]"
20449941,0x90885c3b24c71040d8afc5a135a48327de754a7d,2.016833,Tether : Binance,FALSE,17,"[nan nan 'Holograph' 'Stargate' nan 'Stargate' nan 'Aptos Bridge' nan nan
 'Stargate' nan 'Stargate' 'Merkly' 'Stargate' 'Stargate' nan]",1482.55,87.21,5,7,12,2022/11/6 9:24,14,261.16,"[67.02, 0, 11.16, 23.55, 88.25]"
20449756,0x0ce052c83535730aef4a2772f33f2af8f4fe3c27,2.01561,Tether : Binance,FALSE,25,"[nan 'Merkly' nan nan 'Merkly' 'Stargate' nan nan 'Holograph'
 'Harmony Bridge' 'CoreDAO' 'Stargate' nan nan 'Stargate' 'Bitcoin Bridge'
 'Bitcoin Bridge' nan nan 'Merkly' nan nan 'Harmony Bridge'
 'Bitcoin Bridge' 'Stargate']",1246.9,49.88,7,7,12,2023/2/27 1:26,14,1384.65,"[44.27, 1169.68, 18.88, 9.34, 95.7]"
20449749,0x1ad5303ef818f7f1d70ae664c1ccac65e713cc62,2.041282,Tether : Binance,FALSE,17,"[nan nan 'CoreDAO' 'Merkly' nan 'Holograph' nan nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Aptos Bridge' 'Aptos Bridge' 'Stargate'
 'Harmony Bridge' 'Stargate']",2609.87,153.52,7,7,12,2022/11/6 19:36,14,243.86,"[16.92, 23.69, 12.18, 4.38, 65.65]"
20449660,0x38106a13fb30000d847fbaca8a4a899f0d7d6b2b,1.988595,Tether : Binance,FALSE,24,"['Harmony Bridge' 'Holograph' 'Merkly' nan nan 'Aptos Bridge' 'Holograph'
 nan 'Aptos Bridge' 'CoreDAO' nan 'Harmony Bridge' nan 'Bitcoin Bridge'
 'Stargate' nan nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Bitcoin Bridge' 'Stargate']",2299.81,95.83,8,7,12,2022/11/6 21:33,14,256.42,"[45.84, 25.19, 14.46, 7.21, 56.57]"
20449639,0x789dc36cb8494b6f9cc4fe411d5b1f2eb5be7406,2.003629,Tether : Binance,FALSE,27,"[nan 'Stargate' 'Aptos Bridge' 'Stargate' nan 'Bitcoin Bridge' 'Stargate'
 nan nan nan 'Harmony Bridge' 'Bitcoin Bridge' 'Stargate' 'Stargate'
 'Harmony Bridge' nan 'Holograph' nan 'Aptos Bridge' 'Stargate' nan
 'Merkly' nan nan nan 'Bitcoin Bridge' 'CoreDAO']",2263.52,83.83,8,7,13,2022/11/7 20:29,14,208.12,"[15.34, 21.49, 12.25, 10.83, 65.02]"
20439310,0x8fa73bdec8df71130c851d7f537d8b778d3337e4,1.999,Tether : Binance,FALSE,19,"['Angle' 'Stargate' 'Stargate' 'Stargate' 'Radiant Capital' 'CoreDAO'
 'Level Finance' 'Angle' 'Angle' 'Angle' 'Dexalot' 'TraderJoe'
 'L2Marathon' 'Angle' 'Angle' 'Stargate' 'Dexalot' 'CoreDAO' 'Angle']",412.71,21.72,8,8,8,2023/7/20 14:49,14,121.22,"[0, 0, 0, 0, 0]"
20433202,0x664240d20287f51a8dbdf01e180703b23d77fefc,1.999,Tether : Binance,FALSE,32,"['Stargate' 'l2telegraph' nan nan 'Stargate' 'Bitcoin Bridge' 'Stargate'
 'Bitcoin Bridge' nan 'l2telegraph' 'l2telegraph' nan 'Stargate'
 'Stargate' 'l2telegraph' nan 'Stargate' 'Stargate' nan 'l2telegraph'
 'l2telegraph' 'Stargate' 'Stargate' nan 'Aptos Bridge' nan 'Stargate'
 'Holograph' 'l2telegraph' 'Aptos Bridge' nan 'l2telegraph']",1191.46,37.23,6,7,14,2023/3/25 18:42,14,232.1,"[27.75, 15.42, 0.16, 30.68, 22.38]"
20433143,0x4b73b94024f8b70ab246eaf3cf5ec9432ca33ed7,2.001,Tether : Binance,FALSE,31,"[nan 'Aptos Bridge' 'CoreDAO' 'CoreDAO' 'Stargate' nan nan 'Merkly' nan
 'CoreDAO' 'Bitcoin Bridge' 'CoreDAO' 'Stargate' nan 'Stargate'
 'Aptos Bridge' 'Stargate' nan 'Stargate' 'Bitcoin Bridge' 'Merkly' nan
 'Stargate' 'Stargate' 'Stargate' nan nan 'CoreDAO' 'Aptos Bridge' nan
 'l2telegraph']",635.1,20.49,7,7,12,2023/3/26 16:43,14,226.6,"[18.65, 22.08, 0.27, 31.83, 18.88]"
20433139,0x02790325955e64989918e0865e0be4eadee5487e,1.999,Tether : Binance,FALSE,38,"['Bitcoin Bridge' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan nan
 nan 'l2telegraph' 'Stargate' 'l2telegraph' 'l2telegraph' 'l2telegraph'
 nan 'Stargate' 'l2telegraph' 'CoreDAO' 'Stargate' 'Stargate' 'Stargate'
 nan 'Stargate' 'Bitcoin Bridge' 'Stargate' 'Holograph' 'Stargate'
 'CoreDAO' nan 'CoreDAO' 'Stargate' 'l2telegraph' 'Stargate' 'l2telegraph'
 nan 'Stargate' 'l2telegraph' 'Stargate']",2162.04,56.9,6,8,14,2023/3/27 4:44,14,286.07,"[188.06, 15.33, 0.12, 30.95, 30.13]"
20424947,0x5dcd3f87c85e0022ec49fd526d238236fc5f96b6,1.999,Tether : Binance,FALSE,20,"['Holograph' nan 'Stargate' nan 'Holograph' 'Aptos Bridge' 'Holograph'
 'Holograph' 'Stargate' 'Fuse Bridge' 'OmniArt' 'Holograph' 'Holograph'
 'OmniArt' 'Holograph' 'Stargate' 'Holograph' 'OmniCat' nan nan]",1.84,0.09,7,6,12,2023/7/10 17:42,14,879.03,"[37.21, 18.53, 140.79, 39.4, 85.29]"
20413845,0x0a66a2873293fb7025c6ff1d6151a908c43ac18c,1.999,Tether : Binance,FALSE,23,"['Merkly' 'USDV' 'Stargate' nan nan 'Holograph' nan 'Stargate' 'Stargate'
 'Stargate' nan 'Angle' 'Merkly' 'Stargate' 'Merkly' 'USDV' 'Angle'
 'Holograph' 'Stargate' 'Stargate' 'USDV' nan 'Stargate']",8.5,0.37,6,7,12,2023/7/6 3:30,14,91.27,"[53.17, 0.32, 0, 1.16, 1.96]"
20407390,0x8137ffe5e3ee5d5809280d954ca87a5182420d88,1.999,Tether : Binance,FALSE,34,"['Stargate' 'Holograph' 'Stargate' 'Stargate' nan 'Merkly' 'Stargate'
 'Bitcoin Bridge' 'Stargate' 'Mintly' 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate' 'Aptos Bridge' nan 'Stargate' 'Holograph'
 'Holograph' 'Stargate' 'Stargate' 'Merkly' nan 'Stargate' 'Stargate' nan
 'Stargate' 'Holograph' nan 'Stargate' 'Bitcoin Bridge' 'Stargate']",2858.86,84.08,7,7,12,2022/11/7 15:47,14,989.61,"[868.3, 2.73, 50.34, 25.53, 10.61]"
20405904,0x046d2b2cf6e3f5e29af734b99b6baba0e0c0c0ec,2.019,Tether : Binance,FALSE,30,"['Bitcoin Bridge' 'Merkly' 'Stargate' nan 'Merkly' 'Aptos Bridge'
 'Stargate' nan 'Merkly' 'Stargate' nan 'Merkly' 'Holograph' 'Stargate'
 'Stargate' 'Stargate' 'Holograph' 'Merkly' 'Merkly' nan nan 'Stargate'
 'Stargate' 'Bitcoin Bridge' 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate']",1732.28,57.74,6,6,17,2023/3/26 12:24,14,32.81,"[4.2, 0, 1.0, 11.13, 4.04]"
